id,condition,slider_value,hypothesis,hypothesis_type,slider_value_normalized,outcome,browser,browser_width,browser_height,screen_width,screen_height,mobile_device,about,why_action,comment,age,gender,first_language,experiment_time,action_trial_time,manip_check_score,action_response,experiment,social_condition
9,nogoal,34,button,prior,0.362,light,chrome,914,600,1366,768,FALSE,it was about perceptions.,i selected the choice that would most likely get the toy box to do what i wanted.,no,24,m,english,171.985,24.455,3,both,e1_soc_only,no_social
10,nogoal,65,handle,prior,0.38,light,chrome,1299,662,1366,768,FALSE,i do not have any idea.,it seemed equally helpful to pull the handle of push the button so i just chose one of those actions.,no,24,f,english,205.778,31.721,3,button,e1_soc_only,no_social
10,nogoal,64,button,prior,0.374,light,chrome,1299,662,1366,768,FALSE,i do not have any idea.,it seemed equally helpful to pull the handle of push the button so i just chose one of those actions.,no,24,f,english,205.778,31.721,3,button,e1_soc_only,no_social
10,nogoal,42,both,prior,0.246,light,chrome,1299,662,1366,768,FALSE,i do not have any idea.,it seemed equally helpful to pull the handle of push the button so i just chose one of those actions.,no,24,f,english,205.778,31.721,3,button,e1_soc_only,no_social
11,nogoal,45,button,prior,0.298,music,chrome,1870,600,1920,1080,FALSE,thinking,"i figured that by choosing one action, i could determine which toy it was",thanks for allowing me to participate,46,m,english,255.942,68.166,3,handle,e1_soc_only,no_social
11,nogoal,62,both,prior,0.411,music,chrome,1870,600,1920,1080,FALSE,thinking,"i figured that by choosing one action, i could determine which toy it was",thanks for allowing me to participate,46,m,english,255.942,68.166,3,handle,e1_soc_only,no_social
11,nogoal,44,handle,prior,0.291,music,chrome,1870,600,1920,1080,FALSE,thinking,"i figured that by choosing one action, i could determine which toy it was",thanks for allowing me to participate,46,m,english,255.942,68.166,3,handle,e1_soc_only,no_social
12,learning,72,button,prior,0.336,light,chrome,1230,600,1280,1024,FALSE,problem solving,because it would tell me which toy it is,no,31,m,english,242.155,51.638,3,handle,e1_soc_only,social
12,learning,71,handle,prior,0.332,light,chrome,1230,600,1280,1024,FALSE,problem solving,because it would tell me which toy it is,no,31,m,english,242.155,51.638,3,handle,e1_soc_only,social
12,learning,71,both,prior,0.332,light,chrome,1230,600,1280,1024,FALSE,problem solving,because it would tell me which toy it is,no,31,m,english,242.155,51.638,3,handle,e1_soc_only,social
13,presentation,100,both,prior,0.505,light,chrome,1550,600,1600,1024,FALSE,unsure,it was more inclusive,NA,25,m,english,148.622,26.662,3,both,e1_soc_only,social
13,presentation,48,button,prior,0.242,light,chrome,1550,600,1600,1024,FALSE,unsure,it was more inclusive,NA,25,m,english,148.622,26.662,3,both,e1_soc_only,social
13,presentation,50,handle,prior,0.253,light,chrome,1550,600,1600,1024,FALSE,unsure,it was more inclusive,NA,25,m,english,148.622,26.662,3,both,e1_soc_only,social
14,performance,51,button,prior,0.329,light,chrome,1299,662,1366,768,FALSE,i am not sure,so that the light would definitely come on,no,35,f,english,593.765,41.196,3,both,e1_soc_only,social
14,performance,52,handle,prior,0.335,light,chrome,1299,662,1366,768,FALSE,i am not sure,so that the light would definitely come on,no,35,f,english,593.765,41.196,3,both,e1_soc_only,social
14,performance,52,both,prior,0.335,light,chrome,1299,662,1366,768,FALSE,i am not sure,so that the light would definitely come on,no,35,f,english,593.765,41.196,3,both,e1_soc_only,social
15,learning,74,button,prior,0.841,light,chrome,1870,600,1920,1080,FALSE,critical thinking,not sure,NA,30,m,english,192.837,38.13,3,both,e1_soc_only,social
15,learning,2,handle,prior,0.023,light,chrome,1870,600,1920,1080,FALSE,critical thinking,not sure,NA,30,m,english,192.837,38.13,3,both,e1_soc_only,social
15,learning,12,both,prior,0.136,light,chrome,1870,600,1920,1080,FALSE,critical thinking,not sure,NA,30,m,english,192.837,38.13,3,both,e1_soc_only,social
16,presentation,70,both,prior,0.311,light,chrome,1207,600,1280,800,FALSE,whether we like to be pushed or pulled,i like pushing rather than pulling,thanks,33,m,english,115.52,16.266,3,button,e1_soc_only,social
16,presentation,76,handle,prior,0.338,light,chrome,1207,600,1280,800,FALSE,whether we like to be pushed or pulled,i like pushing rather than pulling,thanks,33,m,english,115.52,16.266,3,button,e1_soc_only,social
16,presentation,79,button,prior,0.351,light,chrome,1207,600,1280,800,FALSE,whether we like to be pushed or pulled,i like pushing rather than pulling,thanks,33,m,english,115.52,16.266,3,button,e1_soc_only,social
17,learning,25,both,prior,0.151,light,chrome,1084,600,1536,864,FALSE,reasoning,"it was 50/50 for me between the handle and the button, but the handle seemed more intuitive to the action.",NA,24,f,english,195.752,44.968,3,handle,e1_soc_only,social
17,learning,58,handle,prior,0.349,light,chrome,1084,600,1536,864,FALSE,reasoning,"it was 50/50 for me between the handle and the button, but the handle seemed more intuitive to the action.",NA,24,f,english,195.752,44.968,3,handle,e1_soc_only,social
17,learning,83,button,prior,0.5,light,chrome,1084,600,1536,864,FALSE,reasoning,"it was 50/50 for me between the handle and the button, but the handle seemed more intuitive to the action.",NA,24,f,english,195.752,44.968,3,handle,e1_soc_only,social
18,learning,62,both,prior,0.305,light,chrome,1682,878,1920,1080,FALSE,not sure,it was the most likely to perform a task,not really,37,male,english,202.778,38.463,3,both,e1_soc_only,social
18,learning,74,handle,prior,0.365,light,chrome,1682,878,1920,1080,FALSE,not sure,it was the most likely to perform a task,not really,37,male,english,202.778,38.463,3,both,e1_soc_only,social
18,learning,67,button,prior,0.33,light,chrome,1682,878,1920,1080,FALSE,not sure,it was the most likely to perform a task,not really,37,male,english,202.778,38.463,3,both,e1_soc_only,social
19,nogoal,1,both,prior,0.01,light,chrome,1629,796,1360,768,FALSE,not sure now :-),i wanted to see what both the handle and button would do,no,55,female,english,280.32,15.89,3,both,e1_soc_only,no_social
19,nogoal,50,button,prior,0.495,light,chrome,1629,796,1360,768,FALSE,not sure now :-),i wanted to see what both the handle and button would do,no,55,female,english,280.32,15.89,3,both,e1_soc_only,no_social
19,nogoal,50,handle,prior,0.495,light,chrome,1629,796,1360,768,FALSE,not sure now :-),i wanted to see what both the handle and button would do,no,55,female,english,280.32,15.89,3,both,e1_soc_only,no_social
20,presentation,27,handle,prior,0.318,light,chrome,1080,771,1366,768,FALSE,i'm not really too sure.  it was a pretty unusual task.,i just felt it would be cooler to show off that the light and the music can play at the same time.,NA,31,m,english,180.088,17.385,3,both,e1_soc_only,social
20,presentation,29,button,prior,0.341,light,chrome,1080,771,1366,768,FALSE,i'm not really too sure.  it was a pretty unusual task.,i just felt it would be cooler to show off that the light and the music can play at the same time.,NA,31,m,english,180.088,17.385,3,both,e1_soc_only,social
20,presentation,29,both,prior,0.341,light,chrome,1080,771,1366,768,FALSE,i'm not really too sure.  it was a pretty unusual task.,i just felt it would be cooler to show off that the light and the music can play at the same time.,NA,31,m,english,180.088,17.385,3,both,e1_soc_only,social
21,learning,41,both,prior,0.342,light,chrome,1299,600,1366,768,FALSE,i don't know,it was a coin flip,no,36,m,english,149.455,10.232,3,button,e1_soc_only,social
21,learning,38,button,prior,0.317,light,chrome,1299,600,1366,768,FALSE,i don't know,it was a coin flip,no,36,m,english,149.455,10.232,3,button,e1_soc_only,social
21,learning,41,handle,prior,0.342,light,chrome,1299,600,1366,768,FALSE,i don't know,it was a coin flip,no,36,m,english,149.455,10.232,3,button,e1_soc_only,social
22,learning,50,handle,prior,0.329,music,chrome,1870,600,1920,1080,FALSE,problem solving,i just chose an action out of the 2 that would determine a solution,one of the questions about all 3 toys was a little incomplete and left way too open-ended to make an informed decision so i shot down the middle,32,m,english,265.811,33.913,3,handle,e1_soc_only,social
22,learning,51,both,prior,0.336,music,chrome,1870,600,1920,1080,FALSE,problem solving,i just chose an action out of the 2 that would determine a solution,one of the questions about all 3 toys was a little incomplete and left way too open-ended to make an informed decision so i shot down the middle,32,m,english,265.811,33.913,3,handle,e1_soc_only,social
22,learning,51,button,prior,0.336,music,chrome,1870,600,1920,1080,FALSE,problem solving,i just chose an action out of the 2 that would determine a solution,one of the questions about all 3 toys was a little incomplete and left way too open-ended to make an informed decision so i shot down the middle,32,m,english,265.811,33.913,3,handle,e1_soc_only,social
23,presentation,69,button,prior,0.657,light,chrome,877,922,1920,1080,FALSE,to see how people think this toy should work.,"i felt that because it showed both features off the toy, that it was the best option.",no,21,m,english,200.84,29.087,3,both,e1_soc_only,social
23,presentation,11,both,prior,0.105,light,chrome,877,922,1920,1080,FALSE,to see how people think this toy should work.,"i felt that because it showed both features off the toy, that it was the best option.",no,21,m,english,200.84,29.087,3,both,e1_soc_only,social
23,presentation,25,handle,prior,0.238,light,chrome,877,922,1920,1080,FALSE,to see how people think this toy should work.,"i felt that because it showed both features off the toy, that it was the best option.",no,21,m,english,200.84,29.087,3,both,e1_soc_only,social
24,presentation,47,both,prior,0.307,light,chrome,1853,949,1920,1080,FALSE,not sure,i pulled the hand because it was the first option from left to right. odds were pretty small that you needed to pull the handle and press the button.,NA,31,m,english,268.904,36.836,3,handle,e1_soc_only,social
24,presentation,53,handle,prior,0.346,light,chrome,1853,949,1920,1080,FALSE,not sure,i pulled the hand because it was the first option from left to right. odds were pretty small that you needed to pull the handle and press the button.,NA,31,m,english,268.904,36.836,3,handle,e1_soc_only,social
24,presentation,53,button,prior,0.346,light,chrome,1853,949,1920,1080,FALSE,not sure,i pulled the hand because it was the first option from left to right. odds were pretty small that you needed to pull the handle and press the button.,NA,31,m,english,268.904,36.836,3,handle,e1_soc_only,social
25,nogoal,23,button,prior,0.319,light,firefox,1853,987,1920,1080,FALSE,not sure,i feel like it gives me the best shot at figuring out what is what,thanks,59,male,english,265.905,19.82,3,both,e1_soc_only,no_social
25,nogoal,24,handle,prior,0.333,light,firefox,1853,987,1920,1080,FALSE,not sure,i feel like it gives me the best shot at figuring out what is what,thanks,59,male,english,265.905,19.82,3,both,e1_soc_only,no_social
25,nogoal,25,both,prior,0.347,light,firefox,1853,987,1920,1080,FALSE,not sure,i feel like it gives me the best shot at figuring out what is what,thanks,59,male,english,265.905,19.82,3,both,e1_soc_only,no_social
26,nogoal,87,handle,prior,0.798,light,chrome,1657,600,1707,960,FALSE,"the survey was about decision making, but i have no idea what it is measuring specifically.",i selected the action because it was one of the two available choices that would enable me to see how the toy worked.,"no, everything seemed fine.",29,f,english,444.28,38.368,3,button,e1_soc_only,no_social
26,nogoal,10,button,prior,0.092,light,chrome,1657,600,1707,960,FALSE,"the survey was about decision making, but i have no idea what it is measuring specifically.",i selected the action because it was one of the two available choices that would enable me to see how the toy worked.,"no, everything seemed fine.",29,f,english,444.28,38.368,3,button,e1_soc_only,no_social
26,nogoal,12,both,prior,0.11,light,chrome,1657,600,1707,960,FALSE,"the survey was about decision making, but i have no idea what it is measuring specifically.",i selected the action because it was one of the two available choices that would enable me to see how the toy worked.,"no, everything seemed fine.",29,f,english,444.28,38.368,3,button,e1_soc_only,no_social
27,learning,50,handle,prior,0.333,light,chrome,1533,600,1600,900,FALSE,how people solve the previous problem.,"because it would narrow the selection down to either being the toy that has music turn on, or the light turn on when the button is pressed, and if nothing happened it is the one that requires both the button and the lever to be pulled to do anything.",NA,21,m,english,273.998,60.039,3,button,e1_soc_only,social
27,learning,49,both,prior,0.327,light,chrome,1533,600,1600,900,FALSE,how people solve the previous problem.,"because it would narrow the selection down to either being the toy that has music turn on, or the light turn on when the button is pressed, and if nothing happened it is the one that requires both the button and the lever to be pulled to do anything.",NA,21,m,english,273.998,60.039,3,button,e1_soc_only,social
27,learning,51,button,prior,0.34,light,chrome,1533,600,1600,900,FALSE,how people solve the previous problem.,"because it would narrow the selection down to either being the toy that has music turn on, or the light turn on when the button is pressed, and if nothing happened it is the one that requires both the button and the lever to be pulled to do anything.",NA,21,m,english,273.998,60.039,3,button,e1_soc_only,social
28,nogoal,77,button,prior,0.312,music,chrome,1093,925,1920,1080,FALSE,"prediciton and thinking outside the ""toy"" box",because doing both would guarantee that you would produce the effects.,very well done and clear,33,f,english,149.414,23.63,3,both,e1_soc_only,no_social
28,nogoal,83,handle,prior,0.336,music,chrome,1093,925,1920,1080,FALSE,"prediciton and thinking outside the ""toy"" box",because doing both would guarantee that you would produce the effects.,very well done and clear,33,f,english,149.414,23.63,3,both,e1_soc_only,no_social
28,nogoal,87,both,prior,0.352,music,chrome,1093,925,1920,1080,FALSE,"prediciton and thinking outside the ""toy"" box",because doing both would guarantee that you would produce the effects.,very well done and clear,33,f,english,149.414,23.63,3,both,e1_soc_only,no_social
29,learning,6,both,prior,0.038,music,firefox,1870,600,1920,1080,FALSE,testing people,"it could only be one of two things, so i chose it.",no,24,m,english,130.174,16.95,3,handle,e1_soc_only,social
29,learning,76,handle,prior,0.481,music,firefox,1870,600,1920,1080,FALSE,testing people,"it could only be one of two things, so i chose it.",no,24,m,english,130.174,16.95,3,handle,e1_soc_only,social
29,learning,76,button,prior,0.481,music,firefox,1870,600,1920,1080,FALSE,testing people,"it could only be one of two things, so i chose it.",no,24,m,english,130.174,16.95,3,handle,e1_soc_only,social
30,performance,51,button,prior,0.331,music,chrome,1299,600,1366,768,FALSE,"how people think about things, problem solve","i knew pulling the lever and pushing the button will always make the music play, even if it turned on the light too, it will still play music",no,36,f,english,210.865,23.875,3,both,e1_soc_only,social
30,performance,51,handle,prior,0.331,music,chrome,1299,600,1366,768,FALSE,"how people think about things, problem solve","i knew pulling the lever and pushing the button will always make the music play, even if it turned on the light too, it will still play music",no,36,f,english,210.865,23.875,3,both,e1_soc_only,social
30,performance,52,both,prior,0.338,music,chrome,1299,600,1366,768,FALSE,"how people think about things, problem solve","i knew pulling the lever and pushing the button will always make the music play, even if it turned on the light too, it will still play music",no,36,f,english,210.865,23.875,3,both,e1_soc_only,social
31,performance,51,button,prior,0.44,music,chrome,1597,600,1920,1080,FALSE,"just what i'd do when faced with an unknown set of controls, i guess","it was the most complete action, in a sense - if anything was going to work, activating all the controls would","no, it was all fine",46,m,english,168.755,14.619,3,both,e1_soc_only,social
31,performance,13,both,prior,0.112,music,chrome,1597,600,1920,1080,FALSE,"just what i'd do when faced with an unknown set of controls, i guess","it was the most complete action, in a sense - if anything was going to work, activating all the controls would","no, it was all fine",46,m,english,168.755,14.619,3,both,e1_soc_only,social
31,performance,52,handle,prior,0.448,music,chrome,1597,600,1920,1080,FALSE,"just what i'd do when faced with an unknown set of controls, i guess","it was the most complete action, in a sense - if anything was going to work, activating all the controls would","no, it was all fine",46,m,english,168.755,14.619,3,both,e1_soc_only,social
32,performance,81,handle,prior,0.46,light,chrome,1119,954,1920,1080,FALSE,n/a,the light needed to come on so one doing both pulling the handle and pressing the button would do that.,no,25,f,english,1257.302,797.439,3,both,e1_soc_only,social
32,performance,78,button,prior,0.443,light,chrome,1119,954,1920,1080,FALSE,n/a,the light needed to come on so one doing both pulling the handle and pressing the button would do that.,no,25,f,english,1257.302,797.439,3,both,e1_soc_only,social
32,performance,17,both,prior,0.097,light,chrome,1119,954,1920,1080,FALSE,n/a,the light needed to come on so one doing both pulling the handle and pressing the button would do that.,no,25,f,english,1257.302,797.439,3,both,e1_soc_only,social
33,nogoal,100,button,prior,0.498,music,chrome,1533,769,1600,900,FALSE,choices,one chance to play so play both,thank you,45,female,english,365.664,89.803,3,both,e1_soc_only,no_social
33,nogoal,100,both,prior,0.498,music,chrome,1533,769,1600,900,FALSE,choices,one chance to play so play both,thank you,45,female,english,365.664,89.803,3,both,e1_soc_only,no_social
33,nogoal,1,handle,prior,0.005,music,chrome,1533,769,1600,900,FALSE,choices,one chance to play so play both,thank you,45,female,english,365.664,89.803,3,both,e1_soc_only,no_social
34,nogoal,31,button,prior,0.221,light,chrome,1299,600,1366,768,FALSE,unsure,"if the light didnt turn on when the button was pushed, it had to be the one that needed both to turn it on.",nothing,24,m,english,191.005,26.879,2,button,e1_soc_only,no_social
34,nogoal,79,both,prior,0.564,light,chrome,1299,600,1366,768,FALSE,unsure,"if the light didnt turn on when the button was pushed, it had to be the one that needed both to turn it on.",nothing,24,m,english,191.005,26.879,2,button,e1_soc_only,no_social
34,nogoal,30,handle,prior,0.214,light,chrome,1299,600,1366,768,FALSE,unsure,"if the light didnt turn on when the button was pushed, it had to be the one that needed both to turn it on.",nothing,24,m,english,191.005,26.879,2,button,e1_soc_only,no_social
35,performance,72,handle,prior,0.419,music,chrome,980,888,1920,1080,FALSE,figuring out what to pull or push,by pushing one button it would tell me exactly which ones it wasn't,nothing,31,m,english,88.888,8.031,3,button,e1_soc_only,social
35,performance,38,both,prior,0.221,music,chrome,980,888,1920,1080,FALSE,figuring out what to pull or push,by pushing one button it would tell me exactly which ones it wasn't,nothing,31,m,english,88.888,8.031,3,button,e1_soc_only,social
35,performance,62,button,prior,0.36,music,chrome,980,888,1920,1080,FALSE,figuring out what to pull or push,by pushing one button it would tell me exactly which ones it wasn't,nothing,31,m,english,88.888,8.031,3,button,e1_soc_only,social
36,nogoal,66,button,prior,0.333,music,chrome,1299,600,1366,768,FALSE,observing which action provided what result,to turn the light on and play music,NA,30,f,english,211.967,32.927,2,both,e1_soc_only,no_social
36,nogoal,32,handle,prior,0.162,music,chrome,1299,600,1366,768,FALSE,observing which action provided what result,to turn the light on and play music,NA,30,f,english,211.967,32.927,2,both,e1_soc_only,no_social
36,nogoal,100,both,prior,0.505,music,chrome,1299,600,1366,768,FALSE,observing which action provided what result,to turn the light on and play music,NA,30,f,english,211.967,32.927,2,both,e1_soc_only,no_social
37,presentation,9,handle,prior,0.078,light,chrome,1373,769,1440,900,FALSE,understanding how toys operate?,i wanted both the light and the music to play at once.,no,28,f,english,234.869,23.46,2,both,e1_soc_only,social
37,presentation,6,both,prior,0.052,light,chrome,1373,769,1440,900,FALSE,understanding how toys operate?,i wanted both the light and the music to play at once.,no,28,f,english,234.869,23.46,2,both,e1_soc_only,social
37,presentation,100,button,prior,0.87,light,chrome,1373,769,1440,900,FALSE,understanding how toys operate?,i wanted both the light and the music to play at once.,no,28,f,english,234.869,23.46,2,both,e1_soc_only,social
38,nogoal,84,button,prior,0.426,music,chrome,1798,1021,1680,1050,FALSE,no idea,i like music,NA,39,m,english,232.12,62.963,2,button,e1_soc_only,no_social
38,nogoal,30,both,prior,0.152,music,chrome,1798,1021,1680,1050,FALSE,no idea,i like music,NA,39,m,english,232.12,62.963,2,button,e1_soc_only,no_social
38,nogoal,83,handle,prior,0.421,music,chrome,1798,1021,1680,1050,FALSE,no idea,i like music,NA,39,m,english,232.12,62.963,2,button,e1_soc_only,no_social
39,nogoal,1,both,prior,0.008,music,safari,508,600,320,568,TRUE,how to design a toy,to make sure that it worked...both options at the same time are better than trying twice,a little more explanation for the unlikely and likely questions,38,f,english,605.339,124.122,3,both,e1_soc_only,no_social
39,nogoal,38,handle,prior,0.306,music,safari,508,600,320,568,TRUE,how to design a toy,to make sure that it worked...both options at the same time are better than trying twice,a little more explanation for the unlikely and likely questions,38,f,english,605.339,124.122,3,both,e1_soc_only,no_social
39,nogoal,85,button,prior,0.685,music,safari,508,600,320,568,TRUE,how to design a toy,to make sure that it worked...both options at the same time are better than trying twice,a little more explanation for the unlikely and likely questions,38,f,english,605.339,124.122,3,both,e1_soc_only,no_social
40,performance,50,handle,prior,0.253,light,chrome,1073,1106,1536,864,FALSE,i don't know,previously i was told that doing both would work,NA,59,f,english,277.431,27.658,3,both,e1_soc_only,social
40,performance,100,both,prior,0.505,light,chrome,1073,1106,1536,864,FALSE,i don't know,previously i was told that doing both would work,NA,59,f,english,277.431,27.658,3,both,e1_soc_only,social
40,performance,48,button,prior,0.242,light,chrome,1073,1106,1536,864,FALSE,i don't know,previously i was told that doing both would work,NA,59,f,english,277.431,27.658,3,both,e1_soc_only,social
41,learning,83,both,prior,0.327,light,chrome,1299,600,1366,768,FALSE,instincts,it felt right,work,30,m,english,231.789,51.621,3,button,e1_soc_only,social
41,learning,85,button,prior,0.335,light,chrome,1299,600,1366,768,FALSE,instincts,it felt right,work,30,m,english,231.789,51.621,3,button,e1_soc_only,social
41,learning,86,handle,prior,0.339,light,chrome,1299,600,1366,768,FALSE,instincts,it felt right,work,30,m,english,231.789,51.621,3,button,e1_soc_only,social
42,presentation,52,handle,prior,0.329,music,chrome,1870,600,1920,1080,FALSE,reasoning?,"i knew the toy would do both functions, regardless of which type it was.",NA,36,f,english,164.543,14.662,3,both,e1_soc_only,social
42,presentation,53,both,prior,0.335,music,chrome,1870,600,1920,1080,FALSE,reasoning?,"i knew the toy would do both functions, regardless of which type it was.",NA,36,f,english,164.543,14.662,3,both,e1_soc_only,social
42,presentation,53,button,prior,0.335,music,chrome,1870,600,1920,1080,FALSE,reasoning?,"i knew the toy would do both functions, regardless of which type it was.",NA,36,f,english,164.543,14.662,3,both,e1_soc_only,social
43,nogoal,17,button,prior,0.078,music,chrome,1390,803,1440,900,FALSE,attention and reasoning,every time pressing both played both,no,25,m,english,156.984,20.882,2,both,e1_soc_only,no_social
43,nogoal,100,handle,prior,0.461,music,chrome,1390,803,1440,900,FALSE,attention and reasoning,every time pressing both played both,no,25,m,english,156.984,20.882,2,both,e1_soc_only,no_social
43,nogoal,100,both,prior,0.461,music,chrome,1390,803,1440,900,FALSE,attention and reasoning,every time pressing both played both,no,25,m,english,156.984,20.882,2,both,e1_soc_only,no_social
44,learning,18,button,prior,0.157,music,chrome,985,902,1680,1050,FALSE,not sure,just seemed right to me,no,32,f,english,247.13,18.198,2,handle,e1_soc_only,social
44,learning,1,both,prior,0.009,music,chrome,985,902,1680,1050,FALSE,not sure,just seemed right to me,no,32,f,english,247.13,18.198,2,handle,e1_soc_only,social
44,learning,96,handle,prior,0.835,music,chrome,985,902,1680,1050,FALSE,not sure,just seemed right to me,no,32,f,english,247.13,18.198,2,handle,e1_soc_only,social
45,presentation,36,both,prior,0.324,light,chrome,1342,1032,1920,1200,FALSE,how we reason without having full information about something.,because it guaranteed the light would turn on and music would play no matter which toy it was.,NA,34,m,english,200.847,19.172,3,both,e1_soc_only,social
45,presentation,37,button,prior,0.333,light,chrome,1342,1032,1920,1200,FALSE,how we reason without having full information about something.,because it guaranteed the light would turn on and music would play no matter which toy it was.,NA,34,m,english,200.847,19.172,3,both,e1_soc_only,social
45,presentation,38,handle,prior,0.342,light,chrome,1342,1032,1920,1200,FALSE,how we reason without having full information about something.,because it guaranteed the light would turn on and music would play no matter which toy it was.,NA,34,m,english,200.847,19.172,3,both,e1_soc_only,social
46,learning,82,handle,prior,0.446,music,chrome,1373,834,1440,900,FALSE,peoples perceptions,i believe it is the most likely,i hope my data helps! :),20,male,english,2004.126,91.012,3,both,e1_soc_only,social
